Year,January,February,March,April,May,June,July,August,September,October,November,December
1977,,,,,,,8.19,8.31,8.40,8.68,8.80,8.88
1978,8.92,9.03,9.11,9.17,9.15,9.27,9.23,9.33,9.49,9.51,9.55,9.77
1979,9.83,9.98,10.04,10.53,10.74,11.93,13.36,13.72,14.55,15.28,15.35,16.73
1980,17.44,18.78,19.03,20.29,21.27,21.72,22.80,22.99,23.08,23.84,24.61,26.44
1981,31.33,39.07,38.34,37.13,36.01,34.67,34.14,33.89,34.13,33.95,34.10,34.26
1982,34.02,33.26,31.71,30.90,30.99,31.03,31.23,31.06,31.12,32.01,31.92,31.31
1983,31.11,29.70,29.13,29.12,29.20,29.10,29.06,29.10,29.11,29.09,29.30,29.11
1984,29.09,29.05,29.08,28.95,29.04,29.04,29.03,29.03,28.93,28.93,28.37,27.88
1985,26.84,26.34,26.54,26.72,26.90,26.77,26.66,26.70,26.70,26.92,27.10,27.31
1986,25.78,19.72,14.56,12.68,12.97,13.08,11.46,12.14,13.16,13.18,13.17,13.81
1987,16.23,16.63,16.64,16.88,17.41,17.98,18.95,19.09,18.19,18.09,17.81,16.69
1988,15.90,15.75,15.09,16.08,16.39,15.82,14.25,14.19,13.62,12.71,12.38,14.10
1989,16.07,16.18,17.63,19.01,18.50,18.30,18.28,16.73,17.64,18.35,18.14,18.98
1990,20.60,20.20,18.50,16.54,16.30,14.88,16.26,24.55,30.81,33.74,30.01,24.83
1991,22.20,18.29,17.43,18.45,18.78,17.76,18.97,19.15,19.41,20.76,20.03,17.17
1992,16.51,16.71,16.61,18.06,18.76,20.21,19.61,19.07,19.59,19.44,18.07,17.19
1993,16.93,17.90,18.14,18.05,17.68,16.79,15.46,15.66,15.03,15.85,14.49,12.33
1994,12.66,12.50,12.46,14.14,15.88,17.09,17.56,16.13,15.29,15.58,15.90,15.03
1995,15.92,16.58,16.44,17.73,17.56,16.41,15.24,15.92,16.18,15.43,16.00,17.19
1996,17.07,16.98,19.38,21.51,19.43,18.73,19.55,20.26,22.22,23.31,21.97,23.32
1997,23.48,20.49,18.95,17.88,18.97,17.24,17.58,17.86,17.74,19.25,18.19,16.32
1998,14.70,13.95,12.80,13.04,12.62,11.24,11.74,11.30,12.59,12.42,10.89,9.20
1999,10.38,9.98,12.47,15.10,15.79,15.94,17.89,19.26,21.75,20.98,23.19,24.28
2000,25.27,27.62,28.42,24.51,27.26,29.30,28.53,29.64,31.87,31.23,32.21,26.88
2001,27.47,27.75,24.54,24.68,25.52,24.56,23.93,24.87,24.26,19.78,18.07,16.93
2002,17.17,18.22,22.00,23.65,24.66,23.73,24.58,25.96,27.44,26.46,24.66,26.91
2003,30.31,33.48,31.14,26.67,26.59,28.56,29.41,29.76,26.31,28.17,28.80,30.26
2004,32.03,32.45,34.36,34.47,37.48,36.10,38.28,42.37,43.24,49.70,45.28,39.86
2005,43.16,45.22,50.37,49.20,45.22,52.33,55.69,61.51,61.45,58.34,54.69,54.94
2006,60.59,57.59,56.70,64.39,66.01,66.28,69.37,68.71,60.08,54.90,54.20,56.65
2007,50.30,55.10,56.92,59.61,58.74,62.00,70.90,69.06,75.84,82.85,91.67,88.33
2008,90.38,92.53,101.90,110.31,123.17,131.33,131.08,114.22,101.76,75.24,55.49,37.10
2009,35.86,32.81,42.14,46.77,54.74,66.16,61.13,67.42,65.54,72.54,74.59,71.44
2010,74.36,73.58,78.39,81.69,71.12,70.36,72.55,73.68,72.63,78.10,80.84,85.73
2011,86.50,85.64,96.36,105.96,98.13,92.90,94.14,83.40,83.62,84.98,95.72,96.87
2012,98.09,101.10,105.05,101.65,91.61,79.82,85.13,92.66,94.67,89.38,86.95,86.77
2013,91.60,91.23,93.62,93.96,94.83,94.40,102.52,104.25,104.11,97.42,88.85,91.82
2014,90.40,97.40,95.89,95.94,94.73,98.16,96.56,89.39,86.16,78.30,70.46,54.69
2015,43.43,44.66,42.89,49.82,55.21,56.15,48.15,40.16,42.99,43.55,38.79,32.36
2016,27.35,26.47,33.01,36.56,42.52,45.35,41.62,41.44,41.55,46.19,42.49,48.76
2017,49.41,50.45,46.77,47.93,45.37,42.49,43.87,45.37,47.52,49.29,55.42,57.27
2018,62.87,61.78,61.22,63.84,65.38,60.18,65.14,59.40,59.54,61.44,52.93,46.59
2019,46.03,50.85,56.80,62.63,58.48,52.78,56.27,53.11,55.05,53.47,55.30,59.01
2020,57.25,49.88,30.34,14.75,16.92,34.90,38.37,39.98,37.09,36.97,38.77,44.64
2021,50.41,57.80,61.30,60.36,63.48,69.49,70.78,66.02,69.86,79.79,77.43,71.32
2022,81.84,91.05,108.88,104.22,109.37,115.09,101.58,94.52,84.88,87.18,85.00,76.41
2023,76.53,75.11,72.85,78.12,70.62,68.96,74.85,80.52,89.04,85.44,77.89,71.26
2024,73.02,76.09,80.30,84.45,78.81,78.08,79.93,75.63,69.61,71.37,69.05,68.99
2025,74.32,70.85,67.70,62.36,60.55,66.48,66.73,,,,,
